epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5778,1.39147,4.63894,1.47794,0.0031,0.92857,0.10696,0.04894,1.17431,4.15714,1.49556,6e-05,6e-05,6e-05
2,93.6176,0.99677,4.06234,1.10631,0.00333,1,0.51486,0.38967,0.84104,3.61483,0.93038,0.00012614,0.00012614,0.00012614
3,141.881,0.9808,3.39779,1.03782,0.00333,1,0.66239,0.49219,0.6801,3.36712,0.86133,0.00017644,0.00017644,0.00017644
4,186.721,0.7898,2.52084,0.88078,0.00333,1,0.65872,0.52535,0.63171,3.34981,0.8524,0.0002109,0.0002109,0.0002109
5,234.548,0.86607,2.52573,0.93887,0.00333,1,0.59306,0.47175,0.64937,3.40137,0.84805,0.00022952,0.00022952,0.00022952
6,289.233,0.75841,2.22098,0.88134,0.00333,1,0.61729,0.43699,0.67506,3.40682,0.83933,0.0002323,0.0002323,0.0002323
7,344.394,0.80794,2.17848,0.92789,0.00333,1,0.74705,0.52721,0.64917,3.40339,0.86679,0.00021924,0.00021924,0.00021924
8,398.056,0.73273,1.95596,0.90256,0.00333,1,0.8003,0.54932,0.65504,3.36323,0.86856,0.00019034,0.00019034,0.00019034
9,447.816,0.70596,1.96536,0.86828,0.00333,1,0.79046,0.57234,0.70901,3.33055,0.87436,0.0001456,0.0001456,0.0001456
10,497.071,0.83101,1.92962,0.8973,0.00333,1,0.80278,0.62393,0.6898,3.31106,0.86182,8.502e-05,8.502e-05,8.502e-05
